Execucao em 23/12/2025 22:39
epoca;erro_treino;erro_validacao
1;4.569901;4.666964
2;3.563019;4.529893
3;2.724879;4.427365
4;2.059284;4.347208
5;1.552200;4.280941
6;1.178277;4.228991
7;0.908340;4.187127
8;0.717187;4.153137
9;0.579722;4.125185
10;0.479705;4.101268
11;0.405433;4.081497
12;0.349043;4.063636
13;0.305294;4.048006
14;0.270542;4.034113
15;0.242497;4.021215
16;0.219413;4.010231
17;0.200154;3.999677
18;0.183893;3.989330
19;0.169988;3.980182
20;0.158014;3.972063
21;0.147571;3.964088
22;0.138426;3.956608
23;0.130337;3.949677
24;0.123113;3.943311
25;0.116653;3.936897
26;0.110840;3.931081
27;0.105570;3.925604
28;0.100770;3.920286
29;0.096394;3.915276
30;0.092375;3.910565
31;0.088683;3.905940
32;0.085280;3.901530
33;0.082123;3.897327
34;0.079196;3.893200
35;0.076473;3.889148
36;0.073932;3.885122
37;0.071556;3.881537
38;0.069323;3.877926
39;0.067221;3.874530
40;0.065250;3.871088
41;0.063391;3.868026
42;0.061635;3.864665
43;0.059972;3.861475
44;0.058399;3.858577
45;0.056907;3.855672
46;0.055487;3.852748
47;0.054137;3.849946
48;0.052852;3.847234
49;0.051628;3.844731
50;0.050460;3.842094
51;0.049345;3.839541
52;0.048279;3.837088
53;0.047257;3.834788
54;0.046279;3.832408
55;0.045341;3.830087
56;0.044441;3.827845
57;0.043578;3.825617
58;0.042747;3.823403
59;0.041948;3.821304
60;0.041179;3.819218
61;0.040438;3.817144
62;0.039722;3.815180
63;0.039033;3.813161
64;0.038367;3.811283
65;0.037723;3.809328
66;0.037101;3.807488
67;0.036500;3.805563
68;0.035918;3.803805
69;0.035355;3.802049
70;0.034809;3.800346
71;0.034279;3.798672
72;0.033766;3.796925
73;0.033266;3.795269
74;0.032783;3.793658
75;0.032313;3.792053
76;0.031857;3.790422
77;0.031413;3.788959
78;0.030982;3.787462
79;0.030562;3.786021
80;0.030153;3.784505
81;0.029755;3.783042
82;0.029369;3.781587
83;0.028991;3.780158
84;0.028624;3.778695
85;0.028265;3.777352
86;0.027915;3.775952
87;0.027574;3.774609
88;0.027241;3.773357
89;0.026916;3.771968
90;0.026599;3.770693
91;0.026290;3.769381
92;0.025988;3.768123
93;0.025692;3.766844
94;0.025403;3.765653
95;0.025120;3.764413
96;0.024844;3.763213
97;0.024574;3.761961
98;0.024310;3.760764
99;0.024051;3.759593
100;0.023798;3.758411
